 1 ,        1 , 100.00 ,   1.59
 1 ,       10 ,  60.00 ,  13.81
 1 ,      100 ,  57.00 ,  46.40
 1 ,     1000 ,  55.10 ,  44.71
 1 ,    10000 ,  57.22 ,  42.62
 1 ,   100000 ,  57.01 ,  42.16
 1 ,   500000 ,  56.91 ,  40.64
 1 ,  1000000 ,  57.01 ,  41.83
 1 ,  1500000 ,  56.98 ,  41.26
 1 ,  2000000 ,  57.00 ,  41.13
 2 ,        1 ,   0.00 ,   0.59
 2 ,       10 ,  50.00 ,   7.49
 2 ,      100 ,  47.00 ,  52.88
 2 ,     1000 ,  55.30 ,  84.93
 2 ,    10000 ,  56.67 ,  84.09
 2 ,   100000 ,  56.80 ,  83.67
 2 ,   500000 ,  57.08 ,  82.47
 2 ,  1000000 ,  56.96 ,  82.31
 2 ,  1500000 ,  56.95 ,  81.82
 2 ,  2000000 ,  56.98 ,  81.36
 4 ,        1 , 100.00 ,   0.71
 4 ,       10 ,  70.00 ,   7.70
 4 ,      100 ,  59.00 ,  51.60
 4 ,     1000 ,  55.30 , 139.51
 4 ,    10000 ,  56.41 , 149.29
 4 ,   100000 ,  57.09 , 165.58
 4 ,   500000 ,  57.20 , 123.97
 4 ,  1000000 ,  56.96 , 157.47
 4 ,  1500000 ,  56.98 , 160.75
 4 ,  2000000 ,  56.92 , 159.68
 6 ,        1 ,   0.00 ,   0.59
 6 ,       10 ,  40.00 ,   5.47
 6 ,      100 ,  57.00 ,  53.08
 6 ,     1000 ,  57.90 , 215.15
 6 ,    10000 ,  57.44 , 250.69
 6 ,   100000 ,  56.75 , 244.71
 6 ,   500000 ,  56.96 , 209.94
 6 ,  1000000 ,  57.00 , 243.67
 6 ,  1500000 ,  57.07 , 208.95
 6 ,  2000000 ,  57.05 , 236.31
 8 ,        1 ,   0.00 ,   0.51
 8 ,       10 ,  60.00 ,   5.13
 8 ,      100 ,  57.00 ,  50.56
 8 ,     1000 ,  54.90 , 185.98
 8 ,    10000 ,  56.89 , 254.85
 8 ,   100000 ,  56.90 , 268.25
 8 ,   500000 ,  56.98 , 279.27
 8 ,  1000000 ,  56.99 , 275.98
 8 ,  1500000 ,  57.01 , 278.04
 8 ,  2000000 ,  57.09 , 269.48
