    4096 ,      8 ,      49.47
    4096 ,     32 ,      45.99
    4096 ,     64 ,      57.72
    4096 ,    128 ,      57.30
    4096 ,    256 ,      38.07
   16384 ,      8 ,     163.45
   16384 ,     32 ,     188.83
   16384 ,     64 ,     211.56
   16384 ,    128 ,     235.07
   16384 ,    256 ,     154.07
   65536 ,      8 ,     168.76
   65536 ,     32 ,     260.01
   65536 ,     64 ,     292.57
   65536 ,    128 ,     208.71
   65536 ,    256 ,     236.57
  262144 ,      8 ,     323.11
  262144 ,     32 ,     460.96
  262144 ,     64 ,     330.17
  262144 ,    128 ,     423.20
  262144 ,    256 ,     442.54
 1048576 ,      8 ,     702.51
 1048576 ,     32 ,    1678.93
 1048576 ,     64 ,    1495.79
 1048576 ,    128 ,    1426.48
 1048576 ,    256 ,    1466.26
 4194304 ,      8 ,    1075.70
 4194304 ,     32 ,    2664.01
 4194304 ,     64 ,    3025.45
 4194304 ,    128 ,    3471.15
 4194304 ,    256 ,    3648.05
