 1,          1 ,   0.00,   1.42
 1,         10 ,  40.00,   7.88
 1,        100 ,  27.00,  14.24
 1,       1000 ,  27.70,  15.16
 1,      10000 ,  29.56,  15.42
 1,     100000 ,  29.14,  15.34
 1,     500000 ,  29.08,  15.22
 1,    1000000 ,  29.10,  15.37
 2,          1 ,   0.00,   0.51
 2,         10 ,  40.00,   6.08
 2,        100 ,  27.00,  21.33
 2,       1000 ,  29.10,  29.85
 2,      10000 ,  29.18,  30.36
 2,     100000 ,  29.07,  30.37
 2,     500000 ,  29.19,  30.42
 2,    1000000 ,  29.06,  30.23
 4,          1 ,   0.00,   0.48
 4,         10 ,  20.00,   5.03
 4,        100 ,  30.00,  28.26
 4,       1000 ,  29.40,  54.24
 4,      10000 ,  29.05,  60.20
 4,     100000 ,  28.88,  60.71
 4,     500000 ,  29.11,  60.60
 4,    1000000 ,  29.05,  60.09
 8,          1 ,   0.00,   0.35
 8,         10 ,  10.00,   4.12
 8,        100 ,  28.00,  33.38
 8,       1000 ,  28.00,  70.49
 8,      10000 ,  28.66,  80.08
 8,     100000 ,  28.97, 119.33
 8,     500000 ,  29.10, 118.45
 8,    1000000 ,  29.04, 120.43
