771072   , N ,    344.15  ,  S ,   1738.49 ,   5.05       , N ,    361.18  ,  S ,   1809.98 ,   5.01
787456   , N ,    348.78  ,  S ,   1734.76 ,   4.97       , N ,    355.93  ,  S ,   1958.54 ,   5.50
803840   , N ,    348.72  ,  S ,   1709.31 ,   4.90       , N ,    361.65  ,  S ,   1829.60 ,   5.06
820224   , N ,    311.61  ,  S ,   1678.06 ,   5.39       , N ,    326.68  ,  S ,   1838.92 ,   5.63
836608   , N ,    346.35  ,  S ,   1649.00 ,   4.76       , N ,    360.62  ,  S ,   1749.35 ,   4.85
852992   , N ,    349.56  ,  S ,   1694.24 ,   4.85       , N ,    362.54  ,  S ,   1835.57 ,   5.06
869376   , N ,    349.74  ,  S ,   1727.78 ,   4.94       , N ,    361.84  ,  S ,   1804.02 ,   4.99
885760   , N ,    339.96  ,  S ,   1663.41 ,   4.89       , N ,    357.79  ,  S ,   1775.74 ,   4.96
902144   , N ,    350.04  ,  S ,   1712.97 ,   4.89       , N ,    361.33  ,  S ,   1909.19 ,   5.28
918528   , N ,    343.82  ,  S ,   1624.83 ,   4.73       , N ,    357.26  ,  S ,   1945.12 ,   5.44
934912   , N ,    344.43  ,  S ,   1664.80 ,   4.83       , N ,    346.49  ,  S ,   1831.60 ,   5.29
951296   , N ,    339.84  ,  S ,   1657.89 ,   4.88       , N ,    356.56  ,  S ,   1834.11 ,   5.14
967680   , N ,    341.14  ,  S ,   1613.66 ,   4.73       , N ,    356.18  ,  S ,   1739.41 ,   4.88
984064   , N ,    316.85  ,  S ,   1601.17 ,   5.05       , N ,    332.14  ,  S ,   1731.07 ,   5.21
1000448   , N ,    347.98  ,  S ,   1695.16 ,   4.87       , N ,    359.41  ,  S ,   1917.13 ,   5.33
1016832   , N ,    345.53  ,  S ,   1605.27 ,   4.65       , N ,    361.39  ,  S ,   1919.44 ,   5.31
1033216   , N ,    342.41  ,  S ,   1521.29 ,   4.44       , N ,    359.47  ,  S ,   1797.08 ,   5.00
1049600   , N ,    347.52  ,  S ,   1675.60 ,   4.82       , N ,    358.97  ,  S ,   1938.24 ,   5.40
1065984   , N ,    347.30  ,  S ,   1613.50 ,   4.65       , N ,    359.92  ,  S ,   1750.81 ,   4.86
1082368   , N ,    343.64  ,  S ,   1577.90 ,   4.59       , N ,    359.81  ,  S ,   1906.33 ,   5.30
1098752   , N ,    341.02  ,  S ,   1577.81 ,   4.63       , N ,    356.96  ,  S ,   1734.36 ,   4.86
1115136   , N ,    342.19  ,  S ,   1475.98 ,   4.31       , N ,    358.55  ,  S ,   1873.35 ,   5.22
1131520   , N ,    342.48  ,  S ,   1320.86 ,   3.86       , N ,    335.13  ,  S ,   1712.51 ,   5.11
1147904   , N ,    338.57  ,  S ,   1442.13 ,   4.26       , N ,    355.32  ,  S ,   1628.90 ,   4.58
1164288   , N ,    344.57  ,  S ,   1536.76 ,   4.46       , N ,    356.60  ,  S ,   1981.75 ,   5.56
1180672   , N ,    343.02  ,  S ,   1356.26 ,   3.95       , N ,    359.64  ,  S ,   2011.49 ,   5.59
1197056   , N ,    338.94  ,  S ,   1496.52 ,   4.42       , N ,    353.70  ,  S ,   1817.82 ,   5.14
1213440   , N ,    344.36  ,  S ,   1421.14 ,   4.13       , N ,    361.11  ,  S ,   1831.57 ,   5.07
1229824   , N ,    343.40  ,  S ,   1458.37 ,   4.25       , N ,    357.15  ,  S ,   1795.17 ,   5.03
1246208   , N ,    343.87  ,  S ,   1514.76 ,   4.40       , N ,    356.62  ,  S ,   1758.37 ,   4.93
1262592   , N ,    332.66  ,  S ,   1326.31 ,   3.99       , N ,    355.35  ,  S ,   1752.64 ,   4.93
1278976   , N ,    340.93  ,  S ,   1298.68 ,   3.81       , N ,    355.68  ,  S ,   1681.97 ,   4.73
1295360   , N ,    346.35  ,  S ,   1390.67 ,   4.02       , N ,    357.54  ,  S ,   1844.78 ,   5.16
1311744   , N ,    341.67  ,  S ,   1400.09 ,   4.10       , N ,    358.91  ,  S ,   1842.19 ,   5.13
1328128   , N ,    345.61  ,  S ,   1432.49 ,   4.14       , N ,    360.19  ,  S ,   1831.48 ,   5.08
1344512   , N ,    346.72  ,  S ,   1458.15 ,   4.21       , N ,    357.93  ,  S ,   1759.92 ,   4.92
1360896   , N ,    344.44  ,  S ,   1414.98 ,   4.11       , N ,    360.01  ,  S ,   1717.25 ,   4.77
1377280   , N ,    337.94  ,  S ,   1473.95 ,   4.36       , N ,    351.09  ,  S ,   1654.44 ,   4.71
1393664   , N ,    341.77  ,  S ,   1237.50 ,   3.62       , N ,    357.20  ,  S ,   1742.01 ,   4.88
1410048   , N ,    339.85  ,  S ,   1368.35 ,   4.03       , N ,    359.88  ,  S ,   1748.70 ,   4.86
1426432   , N ,    341.61  ,  S ,   1145.54 ,   3.35       , N ,    350.59  ,  S ,   1824.53 ,   5.20
1442816   , N ,    345.18  ,  S ,   1336.75 ,   3.87       , N ,    359.41  ,  S ,   1773.01 ,   4.93
